,Date,hamar,krsand,namsos,troms,bergen
996,2016-09-23,,,,,
997,2016-09-24,,,,,
998,2016-09-25,,,,,
999,2016-09-26,,,,,
1000,2016-09-27,,,,,
1001,2016-09-28,,,,,
1002,2016-09-29,,,,,
1003,2016-09-30,,,,,
1004,2016-10-01,,,,,
1005,2016-10-02,,,,,
1006,2016-10-03,,,,,
1007,2016-10-04,,,,,
1008,2016-10-05,,,,,
1009,2016-10-06,,,,,
1010,2016-10-07,,,,,
1011,2016-10-08,,,,,
1012,2016-10-09,,,,,
1013,2016-10-10,,,,,
1014,2016-10-11,,,,,
1015,2016-10-12,,,,,
1016,2016-10-13,,,,,
1017,2016-10-14,,,,,
1018,2016-10-15,,,,,
1019,2016-10-16,,,,,
1020,2016-10-17,,,,,
1021,2016-10-18,,,,,
1022,2016-10-19,,,,,
1023,2016-10-20,,,,,
1024,2016-10-21,,,,,
1025,2016-10-22,,,,,
1026,2016-10-23,,,,,
1027,2016-10-24,,,,,
1028,2016-10-25,,,,,
1029,2016-10-26,,,,,
1030,2016-10-27,,,,,
1031,2016-10-28,,,,,
1032,2016-10-29,,,,,
1033,2016-10-30,,,,,
1034,2016-10-31,,,,,
1035,2016-11-01,,,,,
1036,2016-11-02,,,,,
1037,2016-11-03,,,,,
1038,2016-11-04,,,,,
1039,2016-11-05,,,,,
1040,2016-11-06,,,,,
1041,2016-11-07,,,,,
1042,2016-11-08,,,,,
1043,2016-11-09,,,,,
1044,2016-11-10,,,,,
1045,2016-11-11,,,,,
1046,2016-11-12,,,,,
1047,2016-11-13,,,,,
1048,2016-11-14,,,,,
1049,2016-11-15,,,,,
1050,2016-11-16,,,,,
1051,2016-11-17,,,,,
1052,2016-11-18,,,,,
1053,2016-11-19,,,,,
1054,2016-11-20,,,,,
1055,2016-11-21,,,,,
1056,2016-11-22,,,,,
1057,2016-11-23,,,,,
1058,2016-11-24,,,,,
1059,2016-11-25,,,,,
1060,2016-11-26,,,,,
1061,2016-11-27,,,,,
1062,2016-11-28,,,,,
1063,2016-11-29,,,,,
1064,2016-11-30,,,,,
1065,2016-12-01,,,,,
1066,2016-12-02,,,,,
1067,2016-12-03,,,,,
1068,2016-12-04,,,,,
1069,2016-12-05,,,,,
1070,2016-12-06,,,,,
1071,2016-12-07,,,,,
1072,2016-12-08,,,,,
1073,2016-12-09,,,,,
1074,2016-12-10,,,,,
1075,2016-12-11,,,,,
1076,2016-12-12,,,,,
1077,2016-12-13,,,,,
1078,2016-12-14,,,,,
1079,2016-12-15,,,,,
1080,2016-12-16,,,,,
1081,2016-12-17,,,,,
1082,2016-12-18,,,,,
1083,2016-12-19,,,,,
1084,2016-12-20,,,,,
1085,2016-12-21,,,,,
1086,2016-12-22,,,,,
1087,2016-12-23,,,,,
1088,2016-12-24,,,,,
1089,2016-12-25,,,,,
1090,2016-12-26,,,,,
1091,2016-12-27,,,,,
1092,2016-12-28,,,,,
1093,2016-12-29,,,,,
1094,2016-12-30,,,,,
1095,2016-12-31,,,,,
1096,2017-01-01,,,,,
1097,2017-01-02,,,,,
1098,2017-01-03,,,,,
1099,2017-01-04,,,,,
1100,2017-01-05,,,,,
1101,2017-01-06,,,,,
1102,2017-01-07,,,,,
1103,2017-01-08,,,,,
1104,2017-01-09,,,,,
1105,2017-01-10,,,,,
1106,2017-01-11,,,,,
1107,2017-01-12,,,,,
1108,2017-01-13,,,,,
1109,2017-01-14,,,,,
1110,2017-01-15,,,,,
1111,2017-01-16,,,,,
1112,2017-01-17,,,,,
1113,2017-01-18,,,,,
1114,2017-01-19,,,,,
1115,2017-01-20,,,,,
1116,2017-01-21,,,,,
1117,2017-01-22,,,,,
1118,2017-01-23,,,,,
1119,2017-01-24,,,,,
1120,2017-01-25,,,,,
1121,2017-01-26,,,,,
1122,2017-01-27,,,,,
1123,2017-01-28,,,,,
1124,2017-01-29,,,,,
1125,2017-01-30,,,,,
1126,2017-01-31,,,,,
1127,2017-02-01,,,,,
1128,2017-02-02,,,,,
1129,2017-02-03,,,,,
1130,2017-02-04,,,,,
1131,2017-02-05,,,,,
1132,2017-02-06,,,,,
1133,2017-02-07,,,,,
1134,2017-02-08,,,,,
1135,2017-02-09,,,,,
1136,2017-02-10,,,,,
1137,2017-02-11,,,,,
1138,2017-02-12,,,,,
1139,2017-02-13,,,,,
1140,2017-02-14,,,,,
1141,2017-02-15,,,,,
1142,2017-02-16,,,,,
1143,2017-02-17,,,,,
1144,2017-02-18,,,,,
1145,2017-02-19,,,,,
1146,2017-02-20,,,,,
1147,2017-02-21,,,,,
1148,2017-02-22,,,,,
1149,2017-02-23,,,,,
1150,2017-02-24,,,,,
1151,2017-02-25,,,,,
1152,2017-02-26,,,,,
1153,2017-02-27,,,,,
1154,2017-02-28,,,,,
1155,2017-03-01,,,,,
1156,2017-03-02,,,,,
1157,2017-03-03,,,,,
1158,2017-03-04,,,,,
1159,2017-03-05,,,,,
1160,2017-03-06,,,,,
1161,2017-03-07,,,,,
1162,2017-03-08,,,,,
1163,2017-03-09,,,,,
1164,2017-03-10,,,,,
1165,2017-03-11,,,,,
1166,2017-03-12,,,,,
1167,2017-03-13,,,,,
1168,2017-03-14,,,,,
1169,2017-03-15,,,,,
1170,2017-03-16,,,,,
1171,2017-03-17,,,,,
1172,2017-03-18,,,,,
1173,2017-03-19,,,,,
1174,2017-03-20,,,,,
1175,2017-03-21,,,,,
1176,2017-03-22,,,,,
1177,2017-03-23,,,,,
1178,2017-03-24,,,,,
1179,2017-03-25,,,,,
1180,2017-03-26,,,,,
1181,2017-03-27,,,,,
1182,2017-03-28,,,,,
1183,2017-03-29,,,,,
1184,2017-03-30,,,,,
1185,2017-03-31,,,,,
1186,2017-04-01,,,,,
1187,2017-04-02,,,,,
1188,2017-04-03,,,,,
1189,2017-04-04,,,,,
1190,2017-04-05,,,,,
1191,2017-04-06,,,,,
1192,2017-04-07,,,,,
1193,2017-04-08,,,,,
1194,2017-04-09,,,,,
1195,2017-04-10,,,,,
1196,2017-04-11,,,,,
1197,2017-04-12,,,,,
1198,2017-04-13,,,,,
1199,2017-04-14,,,,,
1200,2017-04-15,,,,,
1201,2017-04-16,,,,,
1202,2017-04-17,,,,,
1203,2017-04-18,,,,,
1204,2017-04-19,,,,,
1205,2017-04-20,,,,,
1206,2017-04-21,,,,,
1207,2017-04-22,,,,,
1208,2017-04-23,,,,,
1209,2017-04-24,,,,,
1210,2017-04-25,,,,,
1211,2017-04-26,,,,,
1212,2017-04-27,,,,,
1213,2017-04-28,,,,,
1214,2017-04-29,,,,,
1215,2017-04-30,,,,,
1216,2017-05-01,,,,,
1217,2017-05-02,,,,,
1218,2017-05-03,,,,,
1219,2017-05-04,,,,,
1220,2017-05-05,,,,,
1221,2017-05-06,,,,,
1222,2017-05-07,,,,,
1223,2017-05-08,,,,,
1224,2017-05-09,,,,,
1225,2017-05-10,,,,,
1226,2017-05-11,,,,,
1227,2017-05-12,,,,,
1228,2017-05-13,,,,,
1229,2017-05-14,,,,,
1230,2017-05-15,,,,,
1231,2017-05-16,,,,,
1232,2017-05-17,,,,,
1233,2017-05-18,,,,,
1234,2017-05-19,,,,,
1235,2017-05-20,,,,,
1236,2017-05-21,,,,,
1237,2017-05-22,,,,,
1238,2017-05-23,,,,,
1239,2017-05-24,,,,,
1240,2017-05-25,,,,,
1241,2017-05-26,,,,,
1242,2017-05-27,,,,,
1243,2017-05-28,,,,,
1244,2017-05-29,,,,,
1245,2017-05-30,,,,,
1246,2017-05-31,,,,,
1247,2017-06-01,,,,,
1248,2017-06-02,,,,,
1249,2017-06-03,,,,,
1250,2017-06-04,,,,,
1251,2017-06-05,,,,,
1252,2017-06-06,,,,,
1253,2017-06-07,,,,,
1254,2017-06-08,,,,,
1255,2017-06-09,,,,,
1256,2017-06-10,,,,,
1257,2017-06-11,,,,,
1258,2017-06-12,,,,,
1259,2017-06-13,,,,,
1260,2017-06-14,,,,,
1261,2017-06-15,,,,,
1262,2017-06-16,,,,,
1263,2017-06-17,,,,,
1264,2017-06-18,,,,,
1265,2017-06-19,,,,,
1266,2017-06-20,,,,,
1267,2017-06-21,,,,,
1268,2017-06-22,,,,,
1269,2017-06-23,,,,,
1270,2017-06-24,,,,,
1271,2017-06-25,,,,,
1272,2017-06-26,,,,,
1273,2017-06-27,,,,,
1274,2017-06-28,,,,,
1275,2017-06-29,,,,,
1276,2017-06-30,,,,,
1277,2017-07-01,,,,,
1278,2017-07-02,,,,,
1279,2017-07-03,,,,,
1280,2017-07-04,,,,,
1281,2017-07-05,,,,,
1282,2017-07-06,,,,,
1283,2017-07-07,,,,,
1284,2017-07-08,,,,,
1285,2017-07-09,,,,,
1286,2017-07-10,,,,,
1287,2017-07-11,,,,,
1288,2017-07-12,,,,,
1289,2017-07-13,,,,,
1290,2017-07-14,,,,,
1291,2017-07-15,,,,,
1292,2017-07-16,,,,,
1293,2017-07-17,,,,,
1294,2017-07-18,,,,,
1295,2017-07-19,,,,,
1296,2017-07-20,,,,,
1297,2017-07-21,,,,,
1298,2017-07-22,,,,,
1299,2017-07-23,,,,,
1300,2017-07-24,,,,,
1301,2017-07-25,,,,,
1302,2017-07-26,,,,,
1303,2017-07-27,,,,,
1304,2017-07-28,,,,,
1305,2017-07-29,,,,,
1306,2017-07-30,,,,,
1307,2017-07-31,,,,,
1308,2017-08-01,,,,,
1309,2017-08-02,,,,,
1310,2017-08-03,,,,,
1311,2017-08-04,,,,,
1312,2017-08-05,,,,,
1313,2017-08-06,,,,,
1314,2017-08-07,,,,,
1315,2017-08-08,,,,,
1316,2017-08-09,,,,,
1317,2017-08-10,,,,,
1318,2017-08-11,,,,,
1319,2017-08-12,,,,,
1320,2017-08-13,,,,,
1321,2017-08-14,,,,,
1322,2017-08-15,,,,,
1323,2017-08-16,,,,,
1324,2017-08-17,,,,,
1325,2017-08-18,,,,,
1326,2017-08-19,,,,,
1327,2017-08-20,,,,,
1328,2017-08-21,,,,,
1329,2017-08-22,,,,,
1330,2017-08-23,,,,,
1331,2017-08-24,,,,,
1332,2017-08-25,,,,,
1333,2017-08-26,,,,,
1334,2017-08-27,,,,,
1335,2017-08-28,,,,,
1336,2017-08-29,,,,,
1337,2017-08-30,,,,,
1338,2017-08-31,,,,,
1339,2017-09-01,,,,,
1340,2017-09-02,,,,,
1341,2017-09-03,,,,,
1342,2017-09-04,,,,,
1343,2017-09-05,,,,,
1344,2017-09-06,,,,,
1345,2017-09-07,,,,,
1346,2017-09-08,,,,,
1347,2017-09-09,,,,,
1348,2017-09-10,,,,,
1349,2017-09-11,,,,,
1350,2017-09-12,,,,,
1351,2017-09-13,,,,,
1352,2017-09-14,,,,,
1353,2017-09-15,,,,,
1354,2017-09-16,,,,,
1355,2017-09-17,,,,,
1356,2017-09-18,,,,,
1357,2017-09-19,,,,,
1358,2017-09-20,,,,,
1359,2017-09-21,,,,,
1360,2017-09-22,,,,,
1361,2017-09-23,,,,,
1362,2017-09-24,,,,,
1363,2017-09-25,,,,,
1364,2017-09-26,,,,,
1365,2017-09-27,,,,,
1366,2017-09-28,,,,,
1367,2017-09-29,,,,,
1368,2017-09-30,,,,,
1369,2017-10-01,,,,,
1370,2017-10-02,,,,,
1371,2017-10-03,,,,,
1372,2017-10-04,,,,,
1373,2017-10-05,,,,,
1374,2017-10-06,,,,,
1375,2017-10-07,,,,,
1376,2017-10-08,,,,,
1377,2017-10-09,,,,,
1378,2017-10-10,,,,,
1379,2017-10-11,,,,,
1380,2017-10-12,,,,,
1381,2017-10-13,,,,,
1382,2017-10-14,,,,,
1383,2017-10-15,,,,,
1384,2017-10-16,,,,,
1385,2017-10-17,,,,,
1386,2017-10-18,,,,,
1387,2017-10-19,,,,,
1388,2017-10-20,,,,,
1389,2017-10-21,,,,,
1390,2017-10-22,,,,,
1391,2017-10-23,,,,,
1392,2017-10-24,,,,,
1393,2017-10-25,,,,,
1394,2017-10-26,,,,,
1395,2017-10-27,,,,,
1396,2017-10-28,,,,,
1397,2017-10-29,,,,,
1398,2017-10-30,,,,,
1399,2017-10-31,,,,,
1400,2017-11-01,,,,,
1401,2017-11-02,,,,,
1402,2017-11-03,,,,,
1403,2017-11-04,,,,,
1404,2017-11-05,,,,,
1405,2017-11-06,,,,,
1406,2017-11-07,,,,,
1407,2017-11-08,,,,,
1408,2017-11-09,,,,,
1409,2017-11-10,,,,,
1410,2017-11-11,,,,,
1411,2017-11-12,,,,,
1412,2017-11-13,,,,,
1413,2017-11-14,,,,,
1414,2017-11-15,,,,,
1415,2017-11-16,,,,,
1416,2017-11-17,,,,,
1417,2017-11-18,,,,,
1418,2017-11-19,,,,,
1419,2017-11-20,,,,,
1420,2017-11-21,,,,,
1421,2017-11-22,,,,,
1422,2017-11-23,,,,,
1423,2017-11-24,,,,,
1424,2017-11-25,,,,,
1425,2017-11-26,,,,,
1426,2017-11-27,,,,,
1427,2017-11-28,,,,,
1428,2017-11-29,,,,,
1429,2017-11-30,,,,,
1430,2017-12-01,,,,,
1431,2017-12-02,,,,,
1432,2017-12-03,,,,,
1433,2017-12-04,,,,,
1434,2017-12-05,,,,,
1435,2017-12-06,,,,,
1436,2017-12-07,,,,,
1437,2017-12-08,,,,,
1438,2017-12-09,,,,,
1439,2017-12-10,,,,,
1440,2017-12-11,,,,,
1441,2017-12-12,,,,,
1442,2017-12-13,,,,,
1443,2017-12-14,,,,,
1444,2017-12-15,,,,,
1445,2017-12-16,,,,,
1446,2017-12-17,,,,,
1447,2017-12-18,,,,,
1448,2017-12-19,,,,,
1449,2017-12-20,,,,,
1450,2017-12-21,,,,,
1451,2017-12-22,,,,,
1452,2017-12-23,,,,,
1453,2017-12-24,,,,,
1454,2017-12-25,,,,,
1455,2017-12-26,,,,,
1456,2017-12-27,,,,,
1457,2017-12-28,,,,,
1458,2017-12-29,,,,,
1459,2017-12-30,,,,,
1460,2017-12-31,,,,,
1461,2018-01-01,,,,,
1462,2018-01-02,,,,,
1463,2018-01-03,,,,,
1464,2018-01-04,,,,,
1465,2018-01-05,,,,,
1466,2018-01-06,,,,,
1467,2018-01-07,,,,,
1468,2018-01-08,,,,,
1469,2018-01-09,,,,,
1470,2018-01-10,,,,,
1471,2018-01-11,,,,,
1472,2018-01-12,,,,,
1473,2018-01-13,,,,,
1474,2018-01-14,,,,,
1475,2018-01-15,,,,,
1476,2018-01-16,,,,,
1477,2018-01-17,,,,,
1478,2018-01-18,,,,,
1479,2018-01-19,,,,,
1480,2018-01-20,,,,,
1481,2018-01-21,,,,,
1482,2018-01-22,,,,,
1483,2018-01-23,,,,,
1484,2018-01-24,,,,,
1485,2018-01-25,,,,,
1486,2018-01-26,,,,,
1487,2018-01-27,,,,,
1488,2018-01-28,,,,,
1489,2018-01-29,,,,,
1490,2018-01-30,,,,,
1491,2018-01-31,,,,,
1492,2018-02-01,,,,,
1493,2018-02-02,,,,,
1494,2018-02-03,,,,,
1495,2018-02-04,,,,,
1496,2018-02-05,,,,,
1497,2018-02-06,,,,,
1498,2018-02-07,,,,,
1499,2018-02-08,,,,,
1500,2018-02-09,,,,,
1501,2018-02-10,,,,,
1502,2018-02-11,,,,,
1503,2018-02-12,,,,,
1504,2018-02-13,,,,,
1505,2018-02-14,,,,,
1506,2018-02-15,,,,,
1507,2018-02-16,,,,,
1508,2018-02-17,,,,,
1509,2018-02-18,,,,,
1510,2018-02-19,,,,,
1511,2018-02-20,,,,,
1512,2018-02-21,,,,,
1513,2018-02-22,,,,,
1514,2018-02-23,,,,,
1515,2018-02-24,,,,,
1516,2018-02-25,,,,,
1517,2018-02-26,,,,,
1518,2018-02-27,,,,,
1519,2018-02-28,,,,,
1520,2018-03-01,,,,,
1521,2018-03-02,,,,,
1522,2018-03-03,,,,,
1523,2018-03-04,,,,,
1524,2018-03-05,,,,,
1525,2018-03-06,,,,,
1526,2018-03-07,,,,,
1527,2018-03-08,,,,,
1528,2018-03-09,,,,,
1529,2018-03-10,,,,,
1530,2018-03-11,,,,,
1531,2018-03-12,,,,,
1532,2018-03-13,,,,,
1533,2018-03-14,,,,,
1534,2018-03-15,,,,,
1535,2018-03-16,,,,,
1536,2018-03-17,,,,,
1537,2018-03-18,,,,,
1538,2018-03-19,,,,,
1539,2018-03-20,,,,,
1540,2018-03-21,,,,,
1541,2018-03-22,,,,,
1542,2018-03-23,,,,,
1543,2018-03-24,,,,,
1544,2018-03-25,,,,,
1545,2018-03-26,,,,,
1546,2018-03-27,,,,,
1547,2018-03-28,,,,,
1548,2018-03-29,,,,,
1549,2018-03-30,,,,,
1550,2018-03-31,,,,,
1551,2018-04-01,,,,,
1552,2018-04-02,,,,,
1553,2018-04-03,,,,,
1554,2018-04-04,,,,,
1555,2018-04-05,,,,,
1556,2018-04-06,,,,,
1557,2018-04-07,,,,,
1558,2018-04-08,,,,,
1559,2018-04-09,,,,,
1560,2018-04-10,,,,,
1561,2018-04-11,,,,,
1562,2018-04-12,,,,,
1563,2018-04-13,,,,,
1564,2018-04-14,,,,,
1565,2018-04-15,,,,,
1566,2018-04-16,,,,,
1567,2018-04-17,,,,,
1568,2018-04-18,,,,,
1569,2018-04-19,,,,,
1570,2018-04-20,,,,,
1571,2018-04-21,,,,,
1572,2018-04-22,,,,,
1573,2018-04-23,,,,,
1574,2018-04-24,,,,,
1575,2018-04-25,,,,,
1576,2018-04-26,,,,,
1577,2018-04-27,,,,,
1578,2018-04-28,,,,,
1579,2018-04-29,,,,,
1580,2018-04-30,,,,,
1581,2018-05-01,,,,,
1582,2018-05-02,,,,,
1583,2018-05-03,,,,,
1584,2018-05-04,,,,,
1585,2018-05-05,,,,,
1586,2018-05-06,,,,,
1587,2018-05-07,,,,,
1588,2018-05-08,,,,,
1589,2018-05-09,,,,,
1590,2018-05-10,,,,,
1591,2018-05-11,,,,,
1592,2018-05-12,,,,,
1593,2018-05-13,,,,,
1594,2018-05-14,,,,,
1595,2018-05-15,,,,,
1596,2018-05-16,,,,,
1597,2018-05-17,,,,,
1598,2018-05-18,,,,,
1599,2018-05-19,,,,,
1600,2018-05-20,,,,,
1601,2018-05-21,,,,,
1602,2018-05-22,,,,,
1603,2018-05-23,,,,,
1604,2018-05-24,,,,,
1605,2018-05-25,,,,,
1606,2018-05-26,,,,,
1607,2018-05-27,,,,,
1608,2018-05-28,,,,,
1609,2018-05-29,,,,,
1610,2018-05-30,,,,,
1611,2018-05-31,,,,,
1612,2018-06-01,,,,,
1613,2018-06-02,,,,,
1614,2018-06-03,,,,,
1615,2018-06-04,,,,,
1616,2018-06-05,,,,,
1617,2018-06-06,,,,,
1618,2018-06-07,,,,,
1619,2018-06-08,,,,,
1620,2018-06-09,,,,,
1621,2018-06-10,,,,,
1622,2018-06-11,,,,,
1623,2018-06-12,,,,,
1624,2018-06-13,,,,,
1625,2018-06-14,,,,,
1626,2018-06-15,,,,,
1627,2018-06-16,,,,,
1628,2018-06-17,,,,,
1629,2018-06-18,,,,,
1630,2018-06-19,,,,,
1631,2018-06-20,,,,,
1632,2018-06-21,,,,,
1633,2018-06-22,,,,,
1634,2018-06-23,,,,,
1635,2018-06-24,,,,,
1636,2018-06-25,,,,,
1637,2018-06-26,,,,,
1638,2018-06-27,,,,,
1639,2018-06-28,,,,,
1640,2018-06-29,,,,,
1641,2018-06-30,,,,,
1642,2018-07-01,,,,,
1643,2018-07-02,,,,,
1644,2018-07-03,,,,,
1645,2018-07-04,,,,,
1646,2018-07-05,,,,,
1647,2018-07-06,,,,,
1648,2018-07-07,,,,,
1649,2018-07-08,,,,,
1650,2018-07-09,,,,,
1651,2018-07-10,,,,,
1652,2018-07-11,,,,,
1653,2018-07-12,,,,,
1654,2018-07-13,,,,,
1655,2018-07-14,,,,,
1656,2018-07-15,,,,,
1657,2018-07-16,,,,,
1658,2018-07-17,,,,,
1659,2018-07-18,,,,,
1660,2018-07-19,,,,,
1661,2018-07-20,,,,,
1662,2018-07-21,,,,,
1663,2018-07-22,,,,,
1664,2018-07-23,,,,,
1665,2018-07-24,,,,,
1666,2018-07-25,,,,,
1667,2018-07-26,,,,,
1668,2018-07-27,,,,,
1669,2018-07-28,,,,,
1670,2018-07-29,,,,,
1671,2018-07-30,,,,,
1672,2018-07-31,,,,,
1673,2018-08-01,,,,,
1674,2018-08-02,,,,,
1675,2018-08-03,,,,,
1676,2018-08-04,,,,,
1677,2018-08-05,,,,,
1678,2018-08-06,,,,,
1679,2018-08-07,,,,,
1680,2018-08-08,,,,,
1681,2018-08-09,,,,,
1682,2018-08-10,,,,,
1683,2018-08-11,,,,,
1684,2018-08-12,,,,,
1685,2018-08-13,,,,,
1686,2018-08-14,,,,,
1687,2018-08-15,,,,,
1688,2018-08-16,,,,,
1689,2018-08-17,,,,,
1690,2018-08-18,,,,,
1691,2018-08-19,,,,,
1692,2018-08-20,,,,,
1693,2018-08-21,,,,,
1694,2018-08-22,,,,,
1695,2018-08-23,,,,,
1696,2018-08-24,,,,,
1697,2018-08-25,,,,,
1698,2018-08-26,,,,,
1699,2018-08-27,,,,,
1700,2018-08-28,,,,,
1701,2018-08-29,,,,,
1702,2018-08-30,,,,,
1703,2018-08-31,,,,,
1704,2018-09-01,,,,,
1705,2018-09-02,,,,,
1706,2018-09-03,,,,,
1707,2018-09-04,,,,,
1708,2018-09-05,,,,,
1709,2018-09-06,,,,,
1710,2018-09-07,,,,,
1711,2018-09-08,,,,,
1712,2018-09-09,,,,,
1713,2018-09-10,,,,,
1714,2018-09-11,,,,,
1715,2018-09-12,,,,,
1716,2018-09-13,,,,,
1717,2018-09-14,,,,,
1718,2018-09-15,,,,,
1719,2018-09-16,,,,,
1720,2018-09-17,,,,,
1721,2018-09-18,,,,,
1722,2018-09-19,,,,,
1723,2018-09-20,,,,,
1724,2018-09-21,,,,,
1725,2018-09-22,,,,,
1726,2018-09-23,,,,,
1727,2018-09-24,,,,,
1728,2018-09-25,,,,,
1729,2018-09-26,,,,,
1730,2018-09-27,,,,,
1731,2018-09-28,,,,,
1732,2018-09-29,,,,,
1733,2018-09-30,,,,,
1734,2018-10-01,,,,,
1735,2018-10-02,,,,,
1736,2018-10-03,,,,,
1737,2018-10-04,,,,,
1738,2018-10-05,,,,,
1739,2018-10-06,,,,,
1740,2018-10-07,,,,,
1741,2018-10-08,,,,,
1742,2018-10-09,,,,,
1743,2018-10-10,,,,,
1744,2018-10-11,,,,,
1745,2018-10-12,,,,,
1746,2018-10-13,,,,,
1747,2018-10-14,,,,,
1748,2018-10-15,,,,,
1749,2018-10-16,,,,,
1750,2018-10-17,,,,,
1751,2018-10-18,,,,,
1752,2018-10-19,,,,,
1753,2018-10-20,,,,,
1754,2018-10-21,,,,,
1755,2018-10-22,,,,,
1756,2018-10-23,,,,,
1757,2018-10-24,,,,,
1758,2018-10-25,,,,,
1759,2018-10-26,,,,,
1760,2018-10-27,,,,,
1761,2018-10-28,,,,,
1762,2018-10-29,,,,,
1763,2018-10-30,,,,,
1764,2018-10-31,,,,,
1765,2018-11-01,,,,,
1766,2018-11-02,,,,,
1767,2018-11-03,,,,,
1768,2018-11-04,,,,,
1769,2018-11-05,,,,,
1770,2018-11-06,,,,,
1771,2018-11-07,,,,,
1772,2018-11-08,,,,,
1773,2018-11-09,,,,,
1774,2018-11-10,,,,,
1775,2018-11-11,,,,,
1776,2018-11-12,,,,,
1777,2018-11-13,,,,,
1778,2018-11-14,,,,,
1779,2018-11-15,,,,,
1780,2018-11-16,,,,,
1781,2018-11-17,,,,,
1782,2018-11-18,,,,,
1783,2018-11-19,,,,,
1784,2018-11-20,,,,,
1785,2018-11-21,,,,,
1786,2018-11-22,,,,,
1787,2018-11-23,,,,,
1788,2018-11-24,,,,,
1789,2018-11-25,,,,,
1790,2018-11-26,,,,,
1791,2018-11-27,,,,,
1792,2018-11-28,,,,,
1793,2018-11-29,,,,,
1794,2018-11-30,,,,,
1795,2018-12-01,,,,,
1796,2018-12-02,,,,,
1797,2018-12-03,,,,,
1798,2018-12-04,,,,,
1799,2018-12-05,,,,,
1800,2018-12-06,,,,,
1801,2018-12-07,,,,,
1802,2018-12-08,,,,,
1803,2018-12-09,,,,,
1804,2018-12-10,,,,,
1805,2018-12-11,,,,,
1806,2018-12-12,,,,,
1807,2018-12-13,,,,,
1808,2018-12-14,,,,,
1809,2018-12-15,,,,,
1810,2018-12-16,,,,,
1811,2018-12-17,,,,,
1812,2018-12-18,,,,,
1813,2018-12-19,,,,,
1814,2018-12-20,,,,,
1815,2018-12-21,,,,,
1816,2018-12-22,,,,,
1817,2018-12-23,,,,,
1818,2018-12-24,,,,,
1819,2018-12-25,,,,,
1820,2018-12-26,,,,,
1821,2018-12-27,,,,,
1822,2018-12-28,,,,,
1823,2018-12-29,,,,,
1824,2018-12-30,,,,,
1825,2018-12-31,,,,,
1826,2019-01-01,,,,,
1827,2019-01-02,,,,,
1828,2019-01-03,,,,,
1829,2019-01-04,,,,,
1830,2019-01-05,,,,,
1831,2019-01-06,,,,,
1832,2019-01-07,,,,,
1833,2019-01-08,,,,,
1834,2019-01-09,,,,,
1835,2019-01-10,,,,,
1836,2019-01-11,,,,,
1837,2019-01-12,,,,,
1838,2019-01-13,,,,,
1839,2019-01-14,,,,,
1840,2019-01-15,,,,,
1841,2019-01-16,,,,,
1842,2019-01-17,,,,,
1843,2019-01-18,,,,,
1844,2019-01-19,,,,,
1845,2019-01-20,,,,,
1846,2019-01-21,,,,,
1847,2019-01-22,,,,,
1848,2019-01-23,,,,,
1849,2019-01-24,,,,,
1850,2019-01-25,,,,,
1851,2019-01-26,,,,,
1852,2019-01-27,,,,,
1853,2019-01-28,,,,,
1854,2019-01-29,,,,,
1855,2019-01-30,,,,,
1856,2019-01-31,,,,,
1857,2019-02-01,,,,,
1858,2019-02-02,,,,,
1859,2019-02-03,,,,,
1860,2019-02-04,,,,,
1861,2019-02-05,,,,,
1862,2019-02-06,,,,,
1863,2019-02-07,,,,,
1864,2019-02-08,,,,,
1865,2019-02-09,,,,,
1866,2019-02-10,,,,,
1867,2019-02-11,,,,,
1868,2019-02-12,,,,,
1869,2019-02-13,,,,,
1870,2019-02-14,,,,,
1871,2019-02-15,,,,,
1872,2019-02-16,,,,,
1873,2019-02-17,,,,,
1874,2019-02-18,,,,,
1875,2019-02-19,,,,,
1876,2019-02-20,,,,,
1877,2019-02-21,,,,,
1878,2019-02-22,,,,,
1879,2019-02-23,,,,,
1880,2019-02-24,,,,,
1881,2019-02-25,,,,,
1882,2019-02-26,,,,,
1883,2019-02-27,,,,,
1884,2019-02-28,,,,,
1885,2019-03-01,,,,,
1886,2019-03-02,,,,,
1887,2019-03-03,,,,,
1888,2019-03-04,,,,,
1889,2019-03-05,,,,,
1890,2019-03-06,,,,,
1891,2019-03-07,,,,,
1892,2019-03-08,,,,,
1893,2019-03-09,,,,,
1894,2019-03-10,,,,,
1895,2019-03-11,,,,,
1896,2019-03-12,,,,,
1897,2019-03-13,,,,,
1898,2019-03-14,,,,,
1899,2019-03-15,,,,,
1900,2019-03-16,,,,,
1901,2019-03-17,,,,,
1902,2019-03-18,,,,,
1903,2019-03-19,,,,,
1904,2019-03-20,,,,,
1905,2019-03-21,,,,,
1906,2019-03-22,,,,,
1907,2019-03-23,,,,,
1908,2019-03-24,,,,,
1909,2019-03-25,,,,,
1910,2019-03-26,,,,,
1911,2019-03-27,,,,,
1912,2019-03-28,,,,,
1913,2019-03-29,,,,,
1914,2019-03-30,,,,,
1915,2019-03-31,,,,,
1916,2019-04-01,,,,,
1917,2019-04-02,,,,,
1918,2019-04-03,,,,,
1919,2019-04-04,,,,,
1920,2019-04-05,,,,,
1921,2019-04-06,,,,,
1922,2019-04-07,,,,,
1923,2019-04-08,,,,,
1924,2019-04-09,,,,,
1925,2019-04-10,,,,,
1926,2019-04-11,,,,,
1927,2019-04-12,,,,,
